T,R,L,H
USDGBP=X,0.76478,0.054534435,-0.07451958
USDEUR=X,0.8676,0.030097993,-0.11645192
USDCAD=X,1.409,0.04057426,-0.047393654
USDCHF=X,0.80836,0.02884047,-0.121290535
GBPUSD=X,1.3074459,0.032740418,-0.044608872
GBPEUR=X,1.1342,0.0014922871,-0.07600813
GBPCAD=X,1.84209,0.055179436,-0.02610665
GBPCHF=X,1.05673,0.0062179076,-0.08120021
EURUSD=X,1.1526048,0.024892464,-0.09631126
EURGBP=X,0.88132,0.09685128,-0.0017443368
EURCAD=X,1.62351,0.12028787,-0.014004849
EURCHF=X,0.93136,0.011677035,-0.035958983
CADUSD=X,0.7095218,0.08185329,-0.094377995
CADGBP=X,0.5422,0.025922436,-0.057862695
CADEUR=X,0.6155,0.013836211,-0.10793229
CADCHF=X,0.57366,0.024392882,-0.1045517
CHFUSD=X,1.2369349,0.020928599,-0.087597705
CHFGBP=X,0.9457,0.08789931,-0.0064193616
CHFEUR=X,1.0731,0.036936764,-0.011857514
CHFCAD=X,1.7426,0.116795704,-0.023742614
